Municipality,2009,2010,2011,2012,2013,2014,2015,2016
Inxuba Yethemba,0.00045350748213834874,0.0008826821004370355,0.0010635772344660878,0.0006870656458998434,0.0012602893082999953,0.0012585250068009068,0.0031475677709363833,0.0008667935216637681
Ga-Segonyana,0.022483680521561702,0.004421560450976477,0.006760723038408466,0.017868185147274354,0.017166552593912168,0.024858394480156917,0.037397198066301554,0.005558956927943979
Ngwathe,0.0019279513254860086,0.0017222787380778213,0.0029592120245309265,0.0019011987323127137,0.002055276105254535,0.0016231245100381108,0.001757544253891537,0.0012635677058057493
Local Municipality of Madibeng,0.0016640874657841604,0.0009948487677968018,0.0009865794576138039,0.0008554202099513336,0.0006189476760759921,0.0018736437589380766,0.0009672352583229793,0.0015364481205661106
Mpofana,0.06198122937174991,0.02577664768911834,0.02167308967237122,0.0037490369691843316,0.0036256809719038756,0.006044464315081959,0.05344342829731259,0.06419626424157951
Msinga,0,0,0,0,0.0,0.0,0.0,0.0
Okhahlamba,0.0035613687045080696,0.004389551636627752,0.0032559986013288313,0.0022251261114944404,0.0012169633071632611,0.003826121289264787,0.0034542066226528646,0.004258680919166995
Lepele-Nkumpi,0.0003927315694417612,0.0012693333799951162,0.0017283522897479637,0.002552259481975827,0.002718098140430618,0.0038804268890905566,0.008957232104990172,0.006235290973614575
Laingsburg,0.0939616706303417,0.0939616706303417,0.037460308996606885,0.04710822696847439,0.05290404915646537,0.2643383372323133,0.32048528104207474,0.2235207474166404
uMshwathi,0.0025560504705985417,0.0021168146413434656,0.001569206524260026,0.0004453686515277288,0.00044311729455534006,0.0004826577006655029,0.0004587519019788062,0.00051126793679738
Moses Kotane,0.009017368227976292,0.009208402757847867,0,0.0021261356819070472,0.012031838995541586,0.004884186375629041,0.0018236665732149226,0.006223770929109643
Tswaing,0.03425424896157502,0.0006877140068129161,0.007214451058779176,0.00034245274386050534,0.0,0.0005617529192444269,0.00041216989487530953,5.4110826810821165e-05
Beaufort West,0.07278791586898758,0.044961750965887,0.036194762137281705,0.06862637631202437,0.05131782219089032,0.15773633017366442,0.13432503763566087,0.19464699190340035
The Msunduzi,0.0062695188737826825,0.003418590491282357,0.0022358731632932827,0.0013242335204076095,0.002475709082048925,0.02748850933676618,0.025876110552888597,0.012212074201157254
Joe Morolong,0,0,0,0,0.0,0.0,0.0,0.0
Mfolozi,0.10273533473412866,0.03820881319750487,0.0019278337150431442,0.0020103735881773586,0.00021097214327491206,0.0040722209903471755,0.07049995518210285,0.026668936128028183
Emfuleni,0.013224373751692234,0.006455007399160251,0.005626765789492549,0.010440812528860886,0.008244640117485092,0.031218226053810482,0.02921309433740788,0.024358961739694596
eDumbe,0.009454084873323781,0.006647809809618733,0.008886186753441523,0.005895991660147023,0.008023399883259195,0.017085020580362636,0.017085020580362636,0.026362119539268234
Hessequa,0.011365251437471085,0.008483798441906984,0.010061583974276238,0.00988973530225179,0.010364054395081342,0.0839169232602685,0.1040658694109431,0.10339928542017622
Ubuhlebezwe,0,0,0.0005765001057927283,0.006630635016111132,0.0013739954046837555,0.0015283741867347467,0.0015982421419690701,0.0019383512666730418
Phumelela,0.0006858008094018091,0.0010049727891989907,0.0007420965854076182,0.0007649224450488538,0.000692613439481474,0.0004268540140714158,0.0009445335095376881,0.0009646635915507176
Umhlabuyalingana,0.0007929765305085825,0.0008489016274068389,0.0007772062148450988,0.0012050300273354839,0.0008228350069337851,0.0037192774740962917,0.005640411421466112,0.009708058342001457
Nqutu,0.002346593875245237,0.0019540578552465168,0.0034416656698418343,0.0013720389279012232,0.001256185034476919,0.0025843812334693833,0.003625898848539199,0.002618347446939563
Ulundi,0.0026396576695548787,0.00180776930341635,0.004281976507713298,0.008152437741353456,0.009338269784721564,0.021250615803319696,0.02490340058749789,0.04287564551899706
Khâi-Ma,0.001798921354866606,0.0011590561338710292,0.0005000296845240755,0.00044476595381050477,0.0004037527995756996,5.3045172016275164e-05,5.065039264727063e-05,0.0005111806758684353
Ratlou,0,0,0,0,0.0,0.0,0.0020517765002280495,0.0014860276159828645
Blue Crane Route,0.0007812680699163888,0.0004542270816012915,0.0007429025194081446,0.0009552851546462739,0.00042027275616794214,0.000234140284725972,0.00021465064103006758,0.00031883391370532085
Setsoto,0.0009488650907924831,0.0011210936539955468,0.0008647820697779248,0.0009429539339743961,0.0010580790425572786,0.0031389477767467984,0.004228485707786387,0.004314636718445922
Ramotshere Moiloa,0.010634870528410011,0.01732332810475739,0.0196313976646868,0.021185363226791543,0.019074782812011675,0.030873694084676544,0.021999507517880452,0.017290266207150743
Mohokare,0,0,0.0014669535793676736,0.0013241716404454396,0.0004066912629084932,0.005810012536895463,0.009758831486443882,0.05438527820083065
Moqhaka,0.0025920698962299967,0.0021943410202739963,0.002310727803442702,0.0018088621839535196,0.001636506162848531,0.006273997577741814,0.00679454414510608,0.003658089290078963
Overstrand,0.008208148055728488,0.004725897187203393,0.008375999296960774,0.00798600889060069,0.018669343801130965,0.022027934809477453,0.021583062943495112,0.021387241892357793
Chief Albert Luthuli,0.0009555066381779378,0.0004867319462471901,0.005486168330750097,0.0025942626327980856,0.0005376282351606175,0.001263500070112936,0.0043056028557472694,0.010743925286057523
Govan Mbeki,0.003534647843563077,0.0051339596167962005,0.006745985431115432,0.0056524632925137736,0.0075632161449610946,0.015275925316990792,0.018460766353201333,0.01463827483546044
Letsemeng,0,0,0,0.000758155157552318,0.00040710156290070857,0.00040581356197308795,3.5593021138718986e-05,0.0006884889750661558
Stellenbosch,0.02618958505696036,0.018554212782071974,0.01619860674616528,0.01197738319197804,0.062123468979646206,0.055513517305981516,0.04667283712558693,0.059776131081175306
Dr Pixley Ka Isaka Seme,0.0042184123619259635,0.0014860823256584192,0.001716523016522794,0.001339816180391647,0.001417358554422912,0.003361485772393648,0.002198827658452086,0.00096987932370585
Mandeni,0.00810314931983266,0.0028207727399340433,0.0030762256491583856,0.0005781781307732497,0.0005956481196533281,0.0002549524375083852,0.009782042300782449,0.00012890294925910962
Mantsopa,0.0010566117256942142,0.0010657043475744978,0.0010052021189479968,0.0004925945745575344,0.0005508923482295638,0.002150479146974183,0.0021578357026345446,0.0018594695770067005
Steve Tshwete,0.00658804485410315,0.004517002955552296,0.005623154632537652,0.005061757409239223,0.004589256141151484,0.010207826784327944,0.009448499893934736,0.010835577916406072
Siyathemba,0.002543884398260848,0.0014408830794761728,0.0005565839691991253,0.0010186274743991662,0.0006911989512584356,0.0003850551125015919,0.00042146754494759835,0.0010665357172651845
Nongoma,0.000633497546473782,0.00040351354790696474,0.0003122449996984009,0.000741047991818482,0.0014115584097810084,0.002064677509552308,0.0,0.0013894308120688344
uMngeni,0.004247987113083162,0.0015596367036574065,0.0007566566332397768,0.01592920448383559,0.022801583664935083,0.08472478674887257,0.06637731753046616,0.02862930173288005
Mogalakwena,0.0022916896043089978,0.002410801813835062,0.0021651065231428706,0.001570596369290602,0.0012820159109923604,0.009007962665906423,0.005470506165512243,0.002549365795379314
Ekurhuleni,0.008014167998442135,0.006975112068932884,0.008046484717799538,0.010111335625229602,0.007778874626725351,0.006690887093601664,0.008194606169349418,0.0073678335876951094
Nelson Mandela Bay,0.004800113760954492,0.0037986220660878333,0.0037475778773139214,0.003493576578172461,0.0036316048213709913,0.00719856988050068,0.004582518364500381,0.023611360772893882
Makana,0.009562049198772545,0.0056839461761748235,0.004500341112855774,0.0019779709395688254,0.0027943391650045515,0.0018552388091407999,0.0001555019890189751,0.00011850356303920288
uPhongolo,0.001993754201740833,0,0,0.0015173199741264287,0.005020795283791034,0.0022314439265752168,0.0017342723766473932,0.0010544310267234698
Thabazimbi,0,0,0.0024761803999912243,0.003356667742630546,0.004231257668688419,0.004156237290709088,0.004417536333697446,0.0027125032588671276
Bergrivier,0.01241000327436466,0.006450152837154411,0.009152902351181798,0.00022811202640133483,0.0038875502495983967,0.014688785994438654,0.02311398157662201,0.02511504899158483
